Strategy,Scenario,Agent_ID,Initial_Health_Factor,Target_Health_Factor,Final_Health_Factor,Survived,Rebalancing_Events,Cost_of_Rebalancing,Total_Slippage_Costs,Yield_Tokens_Sold,Final_Net_Position,Liquidation_Events,Cost_of_Liquidation,Liquidation_Penalties,Collateral_Lost
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent10,1.2989492910377551,1.01,1.1605517836681039,True,,,,,98237.15770520107,1.0,1762.8422947989363,1539.70598683045,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent11,1.2693510261431438,1.01,1.131654562201499,True,,,,,98198.6175703652,1.0,1801.3824296348062,1575.608290227562,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent12,1.237842657112328,1.01,1.102992606487656,True,,,,,98155.89510086353,1.0,1844.1048991364719,1615.7142335566725,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent13,1.2405047735319257,1.01,1.1070966129641526,True,,,,,98159.85253983208,1.0,1840.1474601679213,1612.2469197000055,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent14,1.269130962841238,1.01,1.1313153053569778,True,,,,,98198.30521633943,1.0,1801.6947836605655,1575.88149573039,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent0,1.227187541438409,1.01,1.0885716565769672,True,,,,,98141.42644362817,1.0,1858.5735563718295,1629.7427511819126,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent1,1.2488028207850908,1.01,1.1059873316921098,True,,,,,98171.13659563175,1.0,1828.8634043682514,1601.5338584378362,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent2,1.2081879342371167,1.01,1.0705001875521187,True,,,,,98113.98540937698,1.0,1886.0145906230214,1655.371605132653,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent3,1.233873348699207,1.01,1.091229390174964,True,,,,,98150.29379152136,1.0,1849.7062084786485,1620.9119048632267,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent4,1.2072333607705354,1.01,1.0690389543907721,True,,,,,98112.49411569316,1.0,1887.5058843068384,1656.6805267239044,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent5,1.20110363670799,1.01,1.063440492921494,True,,,,,98103.47894206476,1.0,1896.52105793524,1665.135246348635,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent6,1.2283850295898768,1.01,1.0904047364377674,True,,,,,98143.23826952865,1.0,1856.7617304713451,1628.1540004340038,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent7,1.2117706365558027,1.01,1.0717648913300677,True,,,,,98118.87913616182,1.0,1881.1208638381725,1650.47735905251,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent8,1.2311038224812,1.01,1.086989880391118,True,,,,,98146.13263975947,1.0,1853.8673602405393,1624.5583544441815,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent9,1.2743470792839706,1.01,1.1292001278647716,True,,,,,98205.35248516711,1.0,1794.647514832893,1569.431148320879,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent10,1.2035755715512693,1.01,1.0672244585272266,True,,,,,98107.37406638842,1.0,1892.6259336115718,1661.7153482288047,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent11,1.2624937557180471,1.01,1.1188599713763496,True,,,,,98189.71438691007,1.0,1810.2856130899306,1584.1662510738472,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent12,1.213501116090704,1.01,1.0744138588217853,True,,,,,98121.56165628017,1.0,1878.43834371982,1648.1237416929646,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent13,1.2795071243465583,1.01,1.135025429679384,True,,,,,98212.27240712478,1.0,1787.7275928752254,1563.1018866123125,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run3_agent14,1.2736967624382103,1.01,1.1282046418454392,True,,,,,98204.43618425034,1.0,1795.5638157496514,1570.2324595466846,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent0,1.288826807645249,1.01,1.0174623708276125,True,,,,,100000.0,0.0,0.0,0.0,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent1,1.2399994395971012,1.01,1.1311728659451423,True,,,,,98158.81358158337,1.0,1841.186418416627,1612.9039547387515,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent2,1.2588620182774233,1.01,1.1489933843672857,True,,,,,98184.59619809336,1.0,1815.4038019066418,1588.7364706870103,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent3,1.2859786673542761,1.01,1.0152139107896052,True,,,,,100000.0,0.0,0.0,0.0,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent4,1.2228539203364601,1.01,1.1152995105882304,True,,,,,98134.73836318003,1.0,1865.2616368199729,1635.5183286730712,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent5,1.251571728402352,1.01,1.1455138395418438,True,,,,,98175.24086723417,1.0,1824.7591327658338,1597.9907140863806,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent6,1.2583730485573605,1.01,1.1482213515577777,True,,,,,98183.8907812936,1.0,1816.1092187064085,1589.3538106945825,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run4_agent7,1.2947199521976729,1.01,1.0221147048668884,True,,,,,100000.0,0.0,0.0,0.0,0.0
